Insertions,Txt file time, csv file time
1,5.245208740234375e-06,1.8596649169921875e-05
2,8.58306884765625e-06,1.9311904907226562e-05
3,4.76837158203125e-06,1.0251998901367188e-05
4,5.7220458984375e-06,9.059906005859375e-06
5,1.0251998901367188e-05,9.059906005859375e-06
6,5.0067901611328125e-06,1.049041748046875e-05
7,5.245208740234375e-06,1.1444091796875e-05
8,4.5299530029296875e-06,1.2159347534179688e-05
9,4.5299530029296875e-06,2.1696090698242188e-05
10,5.245208740234375e-06,1.9311904907226562e-05
11,6.67572021484375e-06,1.5974044799804688e-05
12,6.9141387939453125e-06,1.4781951904296875e-05
13,7.152557373046875e-06,1.621246337890625e-05
14,5.7220458984375e-06,1.621246337890625e-05
15,5.7220458984375e-06,1.7881393432617188e-05
16,6.4373016357421875e-06,1.8358230590820312e-05
17,6.9141387939453125e-06,1.8358230590820312e-05
18,6.67572021484375e-06,1.8835067749023438e-05
19,6.67572021484375e-06,1.9550323486328125e-05
20,6.67572021484375e-06,2.0503997802734375e-05
21,6.9141387939453125e-06,2.1219253540039062e-05
22,7.152557373046875e-06,2.193450927734375e-05
23,9.059906005859375e-06,2.3365020751953125e-05
24,7.867813110351562e-06,2.3603439331054688e-05
25,8.106231689453125e-06,2.4557113647460938e-05
26,8.344650268554688e-06,2.765655517578125e-05
27,9.059906005859375e-06,2.7418136596679688e-05
28,9.059906005859375e-06,2.7894973754882812e-05
29,9.059906005859375e-06,2.8848648071289062e-05
30,9.298324584960938e-06,2.9325485229492188e-05
31,9.298324584960938e-06,3.0279159545898438e-05
32,9.298324584960938e-06,3.0994415283203125e-05
33,9.775161743164062e-06,3.1948089599609375e-05
34,1.0013580322265625e-05,3.266334533691406e-05
35,1.0013580322265625e-05,3.361701965332031e-05
36,1.049041748046875e-05,3.457069396972656e-05
37,1.0728836059570312e-05,3.647804260253906e-05
38,1.1205673217773438e-05,3.647804260253906e-05
39,1.0967254638671875e-05,3.7670135498046875e-05
40,1.1682510375976562e-05,3.838539123535156e-05
41,1.1682510375976562e-05,3.981590270996094e-05
42,1.1682510375976562e-05,4.00543212890625e-05
43,1.2159347534179688e-05,5.316734313964844e-05
44,1.239776611328125e-05,5.459785461425781e-05
45,1.2636184692382812e-05,4.2438507080078125e-05
46,1.2636184692382812e-05,6.461143493652344e-05
47,1.3589859008789062e-05,4.9114227294921875e-05
48,1.3589859008789062e-05,5.7697296142578125e-05
49,1.3828277587890625e-05,4.57763671875e-05
50,1.3828277587890625e-05,5.984306335449219e-05
51,1.4066696166992188e-05,4.76837158203125e-05
52,1.430511474609375e-05,4.9114227294921875e-05
53,1.4781951904296875e-05,4.935264587402344e-05
54,2.3603439331054688e-05,5.1975250244140625e-05
55,1.5497207641601562e-05,5.221366882324219e-05
56,1.5735626220703125e-05,5.269050598144531e-05
57,1.5974044799804688e-05,5.2928924560546875e-05
58,1.5735626220703125e-05,5.340576171875e-05
59,1.5974044799804688e-05,5.435943603515625e-05
60,1.621246337890625e-05,6.747245788574219e-05
61,1.6927719116210938e-05,5.650520324707031e-05
62,1.6927719116210938e-05,5.7220458984375e-05
63,1.6689300537109375e-05,5.7697296142578125e-05
64,1.6927719116210938e-05,5.8650970458984375e-05
65,1.71661376953125e-05,5.9604644775390625e-05
66,1.71661376953125e-05,7.343292236328125e-05
67,1.8358230590820312e-05,6.246566772460938e-05
68,1.811981201171875e-05,6.4849853515625e-05
69,1.8358230590820312e-05,7.581710815429688e-05
70,1.9073486328125e-05,6.461143493652344e-05
71,1.8596649169921875e-05,6.4849853515625e-05
72,1.8835067749023438e-05,6.556510925292969e-05
73,1.9073486328125e-05,7.915496826171875e-05
74,2.0503997802734375e-05,7.82012939453125e-05
75,2.002716064453125e-05,7.033348083496094e-05
76,2.0265579223632812e-05,6.961822509765625e-05
77,2.0503997802734375e-05,8.296966552734375e-05
78,2.1219253540039062e-05,8.225440979003906e-05
79,2.09808349609375e-05,9.131431579589844e-05
80,2.09808349609375e-05,7.414817810058594e-05
81,2.1219253540039062e-05,0.00010371208190917969
82,2.193450927734375e-05,7.581710815429688e-05
83,2.1696090698242188e-05,7.534027099609375e-05
84,2.1696090698242188e-05,8.821487426757812e-05
85,2.2411346435546875e-05,7.82012939453125e-05
86,2.2649765014648438e-05,8.96453857421875e-05
87,2.288818359375e-05,8.988380432128906e-05
88,2.2649765014648438e-05,8.058547973632812e-05
89,2.3126602172851562e-05,9.274482727050781e-05
90,2.3365020751953125e-05,0.000110626220703125
91,2.3365020751953125e-05,9.226799011230469e-05
92,2.384185791015625e-05,9.298324584960938e-05
93,2.384185791015625e-05,9.465217590332031e-05
94,2.4080276489257812e-05,9.512901306152344e-05
95,2.4557113647460938e-05,9.5367431640625e-05
96,2.4557113647460938e-05,9.608268737792969e-05
97,2.4557113647460938e-05,0.0001125335693359375
98,2.5033950805664062e-05,9.799003601074219e-05
99,2.5033950805664062e-05,9.822845458984375e-05
100,2.5272369384765625e-05,0.00010013580322265625
101,2.5510787963867188e-05,0.00010037422180175781
102,2.5510787963867188e-05,0.00010085105895996094
103,2.5987625122070312e-05,0.00010204315185546875
104,2.6226043701171875e-05,0.00010251998901367188
105,2.6464462280273438e-05,0.00011515617370605469
106,2.6464462280273438e-05,0.0001049041748046875
107,2.6702880859375e-05,0.00010585784912109375
108,2.6941299438476562e-05,0.00011467933654785156
109,2.7418136596679688e-05,0.00010704994201660156
110,2.7418136596679688e-05,0.00010776519775390625
111,2.765655517578125e-05,9.918212890625e-05
112,2.8371810913085938e-05,0.00011014938354492188
113,2.86102294921875e-05,0.00011014938354492188
114,2.8371810913085938e-05,0.00011181831359863281
115,2.86102294921875e-05,0.00011277198791503906
116,2.9087066650390625e-05,0.0001423358917236328
117,2.9325485229492188e-05,0.00010466575622558594
118,2.9325485229492188e-05,0.00011515617370605469
